id,family,language,source,page,year_of_occurrence,village_in_source,village,latitude,longitude,text_type,original,translation_Russian,translation_English,modal_marker,marker disamb,constr_type,copula_or_retr,complement,complement_form,inf_postposition,use,modal_or_non-modal,semantics,mod_type_vAP,mod_type_descriptive,negation_expressed,negation_scope,question,question_type,question_emb,overt_A_S,A_S_case,P_argument,P_number,P_overt,P_case,indexing,animacy,counted_in_corpus,counted_in_subcorpus,im_personality,rule or strategy,speaker info,dialect
wm1,Uralic,Hill Mari,Kashkin et al. 2019,NA,2016–2018,Tyumanovo,Tyumanovo,56.16768,46.701784,spontaneous,"tokə̑štə̑ kešäšlə̑k ə̑lə̑t , d'emb'el' ə̑lə̑t ","Домой должны были уезжать, дембеля были.",NA,šašlə̑k,šašlə̑k,pers,ə̑lə̑t,VP,stem,,predicate,modal,necessity,deontic,deontic,0,,no,,,0,no,,,,,,hum,present-day,,,,,
wm2,Uralic,Hill Mari,Kashkin et al. 2019,NA,2016–2018,Kuznetsovo,Kuznetsovo,56.165953,46.71176,spontaneous,"lašašə̑žə̑m kid dono nüštə̈lə̈t , pingə̈də̈räk nünžə̈k lišäšlə̑k ","Муку размешивают рукой, тесто должно быть покрепче.",NA,šašlə̑k,šašlə̑k,pers,NA,VP,stem,,predicate,modal,necessity,external,instruction (recipe),0,,no,,,1,nom,,,,,,inan,present-day,recipes,personal,,,
wm3,Uralic,Hill Mari,Kashkin et al. 2019,NA,2016–2018,Kuznetsovo,Kuznetsovo,56.165953,46.71176,spontaneous,"ik ə̈rvezäš xangam , kə̑škə̑ pištə̈mə̈ luat kok pandə̑m, taškal kolta , pandə̑vlä və̈sen keät , i vot kü mošašlə̑k , tə̈də̈ ma ... kə̈čä ... pandə̑vläm opten šə̈ndä xangaškə̑ dä kə̈čäläš tə̈ngäleš ","Один мальчик по доске, где лежат 12 палочек, ударяет ногой, палочки разлетаются, и вот кто должен искать, тот что... ищет… палочки кладёт на доску и начинает искать.",NA,šašlə̑k,šašlə̑k,pers,NA,VP,stem,,predicate,modal,necessity,deontic,deontic (game rules),0,,no,,,1,nom,,,,,,hum,present-day,games,personal,rule,,
wm4,Uralic,Hill Mari,Kashkin et al. 2019,NA,2016–2018,Kuznetsovo,Kuznetsovo,56.165953,46.71176,spontaneous,vot sv'eta tolšašlə̑k dä pandə̑m postaršašlə̑k ə̑leš ,Вот Света должна прийти и палочки должна собирать.,NA,šašlə̑k,šašlə̑k,pers,NA,VP,stem,,predicate,modal,necessity,deontic,deontic (game rules),0,,no,,,1,nom,,,,,,hum,present-day,games,personal,rule,,
wm5,Uralic,Hill Mari,Kashkin et al. 2019,NA,2016–2018,Kuznetsovo,Kuznetsovo,56.165953,46.71176,spontaneous,vot sv'eta tolšašlə̑k dä pandə̑m postaršašlə̑k ə̑leš ,Вот Света должна прийти и палочки должна собирать.,NA,šašlə̑k,šašlə̑k,pers,ə̑leš,VP,stem,,predicate,modal,necessity,deontic,deontic (game rules),0,,no,,,1,nom,,,,,,hum,present-day,games,personal,rule,,
wm6,Uralic,Hill Mari,Kashkin et al. 2019,NA,2016–2018,Kuznetsovo,Kuznetsovo,56.165953,46.71176,spontaneous,"tägülän pušašlə̑k ə̑leš am pälə̈ , no šalga tə̈štə̈ r'adomok , no eče iktə̈länät pute , fs'o","Кому-то должна дать, не знаю, но стоит там же рядом, но еще никому не дала, всё.",NA,šašlə̑k,šašlə̑k,pers,ə̑leš,VP,stem,,predicate,modal,necessity,deontic,deontic (game rules),0,,no,,,0,no,,,,,,hum,present-day,games,personal,,,
wm7,Uralic,Hill Mari,Kashkin et al. 2019,NA,2016–2018,Kuznetsovo,Kuznetsovo,56.165953,46.71176,spontaneous,BVA : tə̈n'ə̈m mə̈n' pə̑n'imajə̑šašlə̑k ə̑lam vet ,Я тебя понять ведь должен.,NA,šašlə̑k,šašlə̑k,pers,ə̑lam,VP,stem,,predicate,modal,necessity,deontic,deontic,0,,no,,,1,nom,,,,,,hum,present-day,,,,,
wm8,Uralic,Hill Mari,Kashkin et al. 2019,NA,2016–2018,Tyumanovo,Tyumanovo,56.16768,46.701784,spontaneous,ə̈də̈räšə̈žə̈ küšnə̈räk lišäšlə̑k?,Девушка должна быть немножко повыше?,NA,šašlə̑k,šašlə̑k,pers,NA,VP,stem,,predicate,modal,necessity,deontic,experiment (ref_com),0,,yes,del,,1,nom,,,,,,inan,present-day,,,,,
wm9,Uralic,Hill Mari,Kashkin et al. 2019,NA,2016–2018,Paulkino,Paulkino,56.177803,46.754674,spontaneous,"üm ə̈štäš keleš, üm tə̈štə̈ , každə̑j xoz'ajstvə̑ ik vedrä üm zdajə̑šašlə̑k , što l'i ə̑leš ə̑l'ə̑ .","Масло надо было делать, там масло, каждое хозяйство должно было сдать ведро масла, так что ли было.",NA,keläš,keläš,need,NA,VP,inf_aš,no,predicate,modal,necessity,deontic,,0,,no,,,0,no,,,,,,hum,present-day,,,,,
wm10,Uralic,Hill Mari,Kashkin et al. 2019,NA,2016–2018,Paulkino,Paulkino,56.177803,46.754674,spontaneous,"üm ə̈štäš keleš , üm tə̈štə̈ , každə̑j xoz'ajstvə̑ ik vedrä üm zdajə̑šašlə̑k , što l'i ə̑leš ə̑l'ə̑ .","Масло надо было делать, там масло, каждое хозяйство должно было сдать ведро масла, так что ли было.",NA,šašlə̑k,šašlə̑k,pers,ə̑leš ə̑l'ə̑,VP,stem,,predicate,modal,necessity,deontic,deontic,0,,no,,,1,nom,,,,,,hum_group,present-day,,,,,
